id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
11,VILLA PANAMERICANA,Coyoacán,Centro Deportivo Comunitario Villa Panamericana (3700 M2)……(9000 M2)….415 M2 EN PB,CONECTADO,12/8/2019,2,0,19.3100417,-99.169875,"19.3100417,-99.169875"
12,SANTA ANA,Coyoacán,"Estación De Policía Cdmx ""Santana"", Eje 3 OTE y Av. Santana, Col. CTM Culhuacán, Coyoacán",CONECTADO,PRÓXIMA,2,1,19.32844,-99.114214,"19.32844,-99.114214"
13,CANTERA,Coyoacán,"Centro de Desarrollo Comunitario Cantera, (Parque Recreativo Copete), Coyoacán 
Avenida Delfín Madrigal, Col.Pedregal de Santo Domingo",CONECTADO,29/3/2019,2,0,19.317944,-99171981.0,
14,SAN FRANCISCO TULTENCO,Cuauhtémoc,"Paulino Navarro, Callejón Francisco Tultenco No.41, Col.  Paulino Navarro",CONECTADO,6/2/2020,3,0,19.41097,-99.128755,"19.41097,-99.128755"
15,INSURGENTES,Cuauhtémoc,"Glorieta de Insurgentes, Av. Insurgentes",CONECTADO,4/9/2019,2,0,19.423401,-99.162568,"19.423401,-99.162568"
16,VALLE GÓMEZ,Cuauhtémoc,"MÓDULO PARTICIPACIÓN CIUDADANA
FERROCARRIL HIDALGO ENTRE PLOMO Y PLATINO COL. VALLE GÓMEZ, C.P. 06240",CONECTADO,21/11/2019,1,1,19.457135,-99.124036,"19.457135,-99.124036"
17,ATLAMPA,Cuauhtémoc,"Atlampa, Cuauhtémoc Cerrada de Cedro esquina Eulalia Guzmán, Col.Atlampa",CONECTADO,18/3/2019,3,0,19.45922,-9916032.0,
18,EJIDOS DE SAN JUAN DE ARAGÓN,Gustavo A. Madero,"AV. PUERTO DE PALOS ESQUINA CALLE PUERTO KIEL COLONIA EJIDOS DE SAN JUAN DE ARAGÓN, C.P. 07940",CONECTADO,SIN FECHA,2,0,19.469485,-99.091333,"19.469485,-99.091333"
19,MAZATLAN,Gustavo A. Madero,Estación de Policía Mazatlan,CONECTADO,PRÓXIMA,2,0,19.5214467,-99.1418887,"19.5214467,-99.1418887"
20,RICHARD WAGNER,Gustavo A. Madero,"Centro de Desarrollo Social y Cultural Richard Wagner , Constantino esquina Clave, Col.Vallejo",CONECTADO,28/1/2019,3,0,19.46552,-99.129176,"19.46552,-99.129176"
