Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S004554;28/02/2020;14:50;CALL. PUERTO DE PORZUNA / CALL. CABEZA MESADA;-;VILLA DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Mujer;07
2020S004652;29/02/2020;12:30;CALL. GENERAL RICARDOS;95;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02
2020S004641;29/02/2020;8:50;AVDA. LA GAVIA / AVDA. LAS SUERTES;-;VILLA DE VALLECAS;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07
2020S004746;01/03/2020;14:30;CALL. FUENCARRAL;83;CENTRO;Atropello a persona;Nublado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06
2020S004746;01/03/2020;14:30;CALL. FUENCARRAL;83;CENTRO;Atropello a persona;Nublado;Bicicleta;Peatón;DE 25 A 29 AÑOS;Hombre;06
2020S004805;01/03/2020;14:00;CALL. GENERAL DIAZ PORLIER;51;SALAMANCA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DESCONOCIDA;;
2020S004703;01/03/2020;4:15;PASEO. EDUARDO DATO / CALL. FERNANDEZ DE LA HOZ;-;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02
2020S004993;04/03/2020;20:40;CALL. LUCHANA;15;CHAMBERÍ;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 18 A 20 AÑOS;Hombre;
2020S005022;04/03/2020;14:00;PASEO. CASTELLANA / CALL. JORGE MANRIQUE;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;01
2020S005007;04/03/2020;13:30;AVDA. SANTO DOMINGO DE LA CALZADA / CALL. VALCARLOS;-;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;07
2020S005145;05/03/2020;18:35;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS;25;ARGANZUELA;Atropello a persona;Nublado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S005145;05/03/2020;18:35;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS;25;ARGANZUELA;Atropello a persona;Nublado;Bicicleta;Peatón;DE 0 A 5 AÑOS;Hombre;01
2020S005053;05/03/2020;16:05;AVDA. CIUDAD DE BARCELONA / AUTOV. M-30;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;07
2020S005040;05/03/2020;15:05;CALL. ALCALA / CALL. MARQUES DE CASA RIERA;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 30 A 34 AÑOS;Mujer;07
2020S005103;05/03/2020;12:00;CALL. PROFESOR WAKSMAN;13;CHAMARTÍN;Caída;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07
2020S005133;06/03/2020;16:45;CALL. TOLEDO;127;ARGANZUELA;Caída;Nublado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02
